Title,genre,released,score,star,budget,Marketing Spend,Marketing Amount,gross,Profitability,Pre Production Spend,Pre-Production Amount,VFX Spend,VFX Amount,Post Production Spend,Post Production Amount,Music Spend,Music Amount,Distribution,Distribution Amount
Lolita,Drama,"September 25, 1998 (United States)",6.9,Jeremy Irons,62000000,17.5,10850000,1071255,-60928745,65,40300000,7.5,4650000,7.5,4650000,4,2480000,12.5,7750000
Good Will Hunting,Drama,"January 9, 1998 (United States)",8.3,Robin Williams,10000000,17.5,1750000,225933435,215933435,65,6500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Starship Troopers,Action,"November 7, 1997 (United States)",7.2,Casper Van Dien,105000000,37.5,39375000,121214377,16214377,45,47250000,30,31500000,7.5,7875000,4,4200000,12.5,13125000
The Devil's Advocate,Drama,"October 17, 1997 (United States)",7.5,Keanu Reeves,57000000,17.5,9975000,152944660,95944660,65,37050000,7.5,4275000,7.5,4275000,4,2280000,12.5,7125000
Con Air,Action,"June 6, 1997 (United States)",6.9,Nicolas Cage,75000000,37.5,28125000,224012234,149012234,45,33750000,30,22500000,7.5,5625000,4,3000000,12.5,9375000
Jackie Brown,Crime,"December 25, 1997 (United States)",7.5,Pam Grier,12000000,20,2400000,39673807,27673807,55,6600000,15,1800000,7.5,900000,6,720000,12.5,1500000
L.A. Confidential,Crime,"September 19, 1997 (United States)",8.2,Kevin Spacey,35000000,20,7000000,126216940,91216940,55,19250000,15,5250000,7.5,2625000,6,2100000,12.5,4375000
Life Is Beautiful,Comedy,"December 20, 1997 (Italy)",8.6,Roberto Benigni,20000000,25,5000000,230098753,210098753,55,11000000,7.5,1500000,7.5,1500000,4,800000,12.5,2500000
Contact,Drama,"July 11, 1997 (United States)",7.5,Jodie Foster,90000000,17.5,15750000,171120329,81120329,65,58500000,7.5,6750000,7.5,6750000,4,3600000,12.5,11250000
Men in Black,Action,"July 2, 1997 (United States)",7.3,Tommy Lee Jones,90000000,37.5,33750000,589390539,499390539,45,40500000,30,27000000,7.5,6750000,4,3600000,12.5,11250000
Home Alone 3,Action,"December 12, 1997 (United States)",4.5,Alex D. Linz,32000000,37.5,12000000,79082515,47082515,45,14400000,30,9600000,7.5,2400000,4,1280000,12.5,4000000
Air Force One,Action,"July 25, 1997 (United States)",6.5,Harrison Ford,85000000,37.5,31875000,315156409,230156409,45,38250000,30,25500000,7.5,6375000,4,3400000,12.5,10625000
Batman & Robin,Action,"June 20, 1997 (United States)",3.8,Arnold Schwarzenegger,125000000,37.5,46875000,238235719,113235719,45,56250000,30,37500000,7.5,9375000,4,5000000,12.5,15625000
Event Horizon,Horror,"August 15, 1997 (United States)",6.7,Laurence Fishburne,60000000,25,15000000,26673829,-33326171,45,27000000,15,9000000,7.5,4500000,6,3600000,12.5,7500000
Hercules,Animation,"June 27, 1997 (United States)",7.3,Tate Donovan,85000000,20,17000000,252712101,167712101,35,29750000,45,38250000,10,8500000,5,4250000,12.5,10625000
Dante's Peak,Action,"February 7, 1997 (United States)",6,Pierce Brosnan,116000000,37.5,43500000,178127760,62127760,45,52200000,30,34800000,7.5,8700000,4,4640000,12.5,14500000
The Lost World: Jurassic Park,Action,"May 23, 1997 (United States)",6.6,Jeff Goldblum,73000000,37.5,27375000,618638999,545638999,45,32850000,30,21900000,7.5,5475000,4,2920000,12.5,9125000
Princess Mononoke,Animation,"December 19, 1997 (United States)",8.4,Yôji Matsuda,75785197.13,20,15157039.43,169785704,94000506.87,35,26524819,45,34103338.71,10,7578519.713,5,3789259.857,12.5,9473149.642
Scream 2,Horror,"December 12, 1997 (United States)",6.2,Neve Campbell,24000000,25,6000000,172363301,148363301,45,10800000,15,3600000,7.5,1800000,6,1440000,12.5,3000000
Face/Off,Action,"June 27, 1997 (United States)",7.2,John Travolta,80000000,37.5,30000000,245676146,165676146,45,36000000,30,24000000,7.5,6000000,4,3200000,12.5,10000000
As Good as It Gets,Comedy,"December 25, 1997 (United States)",7.7,Jack Nicholson,50000000,25,12500000,314178011,264178011,55,27500000,7.5,3750000,7.5,3750000,4,2000000,12.5,6250000
Gattaca,Drama,"October 24, 1997 (United States)",7.8,Ethan Hawke,36000000,17.5,6300000,12532777,-23467223,65,23400000,7.5,2700000,7.5,2700000,4,1440000,12.5,4500000
The Rainmaker,Crime,"November 21, 1997 (United States)",7.2,Matt Damon,40000000,20,8000000,45916769,5916769,55,22000000,15,6000000,7.5,3000000,6,2400000,12.5,5000000
I Know What You Did Last Summer,Horror,"October 17, 1997 (United States)",5.7,Jennifer Love Hewitt,17000000,25,4250000,125586134,108586134,45,7650000,15,2550000,7.5,1275000,6,1020000,12.5,2125000
Alien: Resurrection,Action,"November 26, 1997 (United States)",6.2,Sigourney Weaver,75000000,37.5,28125000,161376069,86376069,45,33750000,30,22500000,7.5,5625000,4,3000000,12.5,9375000
Cube,Drama,"July 11, 1998 (Netherlands)",7.2,Nicole de Boer,22914608.79,17.5,4010056.539,565727,-22348881.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Liar Liar,Comedy,"March 21, 1997 (United States)",6.9,Jim Carrey,45000000,25,11250000,302710615,257710615,55,24750000,7.5,3375000,7.5,3375000,4,1800000,12.5,5625000
Donnie Brasco,Biography,"February 28, 1997 (United States)",7.7,Al Pacino,35000000,17.5,6125000,124909762,89909762,55,19250000,7.5,2625000,7.5,2625000,4,1400000,12.5,4375000
George of the Jungle,Action,"July 16, 1997 (United States)",5.5,Brendan Fraser,55000000,37.5,20625000,174463257,119463257,45,24750000,30,16500000,7.5,4125000,4,2200000,12.5,6875000
Anastasia,Animation,"November 21, 1997 (United States)",7.2,Meg Ryan,50000000,20,10000000,139804348,89804348,35,17500000,45,22500000,10,5000000,5,2500000,12.5,6250000
Fools Rush In,Comedy,"February 14, 1997 (United States)",6.1,Matthew Perry,20000000,25,5000000,29481428,9481428,55,11000000,7.5,1500000,7.5,1500000,4,800000,12.5,2500000
Midnight in the Garden of Good and Evil,Crime,"November 21, 1997 (United States)",6.6,John Cusack,35000000,20,7000000,25105255,-9894745,55,19250000,15,5250000,7.5,2625000,6,2100000,12.5,4375000
Good Burger,Comedy,"July 25, 1997 (United States)",5.7,Kel Mitchell,9000000,25,2250000,23712993,14712993,55,4950000,7.5,675000,7.5,675000,4,360000,12.5,1125000
Perfect Blue,Animation,"February 28, 1998 (Japan)",8,Junko Iwao,75785197.13,20,15157039.43,563130,-75222067.13,35,26524819,45,34103338.71,10,7578519.713,5,3789259.857,12.5,9473149.642
The Edge,Action,"September 26, 1997 (United States)",6.9,Anthony Hopkins,30000000,37.5,11250000,43312294,13312294,45,13500000,30,9000000,7.5,2250000,4,1200000,12.5,3750000
My Best Friend's Wedding,Comedy,"June 20, 1997 (United States)",6.3,Julia Roberts,38000000,25,9500000,299288605,261288605,55,20900000,7.5,2850000,7.5,2850000,4,1520000,12.5,4750000
Anaconda,Action,"April 11, 1997 (United States)",4.8,Jon Voight,45000000,37.5,16875000,136885767,91885767,45,20250000,30,13500000,7.5,3375000,4,1800000,12.5,5625000
Tomorrow Never Dies,Action,"December 19, 1997 (United States)",6.5,Pierce Brosnan,110000000,37.5,41250000,333011068,223011068,45,49500000,30,33000000,7.5,8250000,4,4400000,12.5,13750000
Speed 2: Cruise Control,Action,"June 13, 1997 (United States)",3.9,Sandra Bullock,160000000,37.5,60000000,164508066,4508066,45,72000000,30,48000000,7.5,12000000,4,6400000,12.5,20000000
The Saint,Action,"April 4, 1997 (United States)",6.2,Val Kilmer,68000000,37.5,25500000,118063304,50063304,45,30600000,30,20400000,7.5,5100000,4,2720000,12.5,8500000
Lost Highway,Mystery,"January 15, 1997 (France)",7.6,Bill Pullman,15000000,20,3000000,3703548,-11296452,45,6750000,7.5,1125000,7.5,1125000,4,600000,12.5,1875000
The Full Monty,Comedy,"September 19, 1997 (United States)",7.2,Robert Carlyle,3500000,25,875000,257938649,254438649,55,1925000,7.5,262500,7.5,262500,4,140000,12.5,437500
Spawn,Action,"August 1, 1997 (United States)",5.2,Michael Jai White,40000000,37.5,15000000,87840042,47840042,45,18000000,30,12000000,7.5,3000000,4,1600000,12.5,5000000
Romy and Michele's High School Reunion,Comedy,"April 25, 1997 (United States)",6.2,Mira Sorvino,22607802.13,25,5651950.532,29235353,6627550.871,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Seven Years in Tibet,Adventure,"October 10, 1997 (United States)",7.1,Brad Pitt,70000000,37.5,26250000,131457682,61457682,45,31500000,30,21000000,7.5,5250000,4,2800000,12.5,8750000
Cop Land,Crime,"August 15, 1997 (United States)",6.9,Sylvester Stallone,15000000,20,3000000,44862187,29862187,55,8250000,15,2250000,7.5,1125000,6,900000,12.5,1875000
Gummo,Comedy,"November 24, 1997 (Australia)",6.7,Nick Sutton,1300000,25,325000,116799,-1183201,55,715000,7.5,97500,7.5,97500,4,52000,12.5,162500
In & Out,Comedy,"September 19, 1997 (United States)",6.4,Kevin Kline,35000000,25,8750000,63856929,28856929,55,19250000,7.5,2625000,7.5,2625000,4,1400000,12.5,4375000
Wilde,Biography,"May 1, 1998 (United States)",6.9,Stephen Fry,10000000,17.5,1750000,2158775,-7841225,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Chasing Amy,Comedy,"April 18, 1997 (United States)",7.2,Ben Affleck,250000,25,62500,12021272,11771272,55,137500,7.5,18750,7.5,18750,4,10000,12.5,31250
U Turn,Crime,"October 3, 1997 (United States)",6.7,Sean Penn,19000000,20,3800000,6682098,-12317902,55,10450000,15,2850000,7.5,1425000,6,1140000,12.5,2375000
Conspiracy Theory,Action,"August 8, 1997 (United States)",6.7,Mel Gibson,75000000,37.5,28125000,136982834,61982834,45,33750000,30,22500000,7.5,5625000,4,3000000,12.5,9375000
Breakdown,Crime,"May 2, 1997 (United States)",6.9,Kurt Russell,36000000,20,7200000,50159144,14159144,55,19800000,15,5400000,7.5,2700000,6,2160000,12.5,4500000
G.I. Jane,Action,"August 22, 1997 (United States)",6,Demi Moore,50000000,37.5,18750000,48169156,-1830844,45,22500000,30,15000000,7.5,3750000,4,2000000,12.5,6250000
The Jackal,Action,"November 14, 1997 (United States)",6.4,Bruce Willis,60000000,37.5,22500000,159330280,99330280,45,27000000,30,18000000,7.5,4500000,4,2400000,12.5,7500000
Kiss the Girls,Crime,"October 3, 1997 (United States)",6.6,Morgan Freeman,27000000,20,5400000,60527873,33527873,55,14850000,15,4050000,7.5,2025000,6,1620000,12.5,3375000
Vegas Vacation,Comedy,"February 14, 1997 (United States)",6,Chevy Chase,25000000,25,6250000,36400360,11400360,55,13750000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
The Devil's Own,Action,"March 26, 1997 (United States)",6.2,Harrison Ford,90000000,37.5,33750000,140807547,50807547,45,40500000,30,27000000,7.5,6750000,4,3600000,12.5,11250000
Amistad,Biography,"December 25, 1997 (United States)",7.3,Djimon Hounsou,36000000,17.5,6300000,44229441,8229441,55,19800000,7.5,2700000,7.5,2700000,4,1440000,12.5,4500000
The Postman,Action,"December 25, 1997 (United States)",6.1,Kevin Costner,80000000,37.5,30000000,17626234,-62373766,45,36000000,30,24000000,7.5,6000000,4,3200000,12.5,10000000
Mimic,Horror,"August 22, 1997 (United States)",6,Mira Sorvino,30000000,25,7500000,25480803,-4519197,45,13500000,15,4500000,7.5,2250000,6,1800000,12.5,3750000
Fierce Creatures,Comedy,"January 24, 1997 (United States)",6.4,John Cleese,25000000,25,6250000,9381260,-15618740,55,13750000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
Grosse Pointe Blank,Action,"April 11, 1997 (United States)",7.3,John Cusack,15000000,37.5,5625000,28084357,13084357,45,6750000,30,4500000,7.5,1125000,4,600000,12.5,1875000
Mortal Kombat: Annihilation,Action,"November 21, 1997 (United States)",3.7,Robin Shou,30000000,37.5,11250000,51376861,21376861,45,13500000,30,9000000,7.5,2250000,4,1200000,12.5,3750000
Spice World,Comedy,"January 23, 1998 (United States)",3.5,Mel B,25000000,25,6250000,29342592,4342592,55,13750000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
Selena,Biography,"March 21, 1997 (United States)",6.8,Jennifer Lopez,20000000,17.5,3500000,35281794,15281794,55,11000000,7.5,1500000,7.5,1500000,4,800000,12.5,2500000
Happy Together,Drama,"May 30, 1997 (Hong Kong)",7.7,Leslie Cheung,4200000,17.5,735000,585773,-3614227,65,2730000,7.5,315000,7.5,315000,4,168000,12.5,525000
The Borrowers,Adventure,"February 13, 1998 (United States)",5.9,John Goodman,29000000,37.5,10875000,22619589,-6380411,45,13050000,30,8700000,7.5,2175000,4,1160000,12.5,3625000
The Peacemaker,Action,"September 26, 1997 (United States)",6,George Clooney,50000000,37.5,18750000,110463140,60463140,45,22500000,30,15000000,7.5,3750000,4,2000000,12.5,6250000
Volcano,Action,"April 25, 1997 (United States)",5.5,Tommy Lee Jones,90000000,37.5,33750000,122823468,32823468,45,40500000,30,27000000,7.5,6750000,4,3600000,12.5,11250000
Clockwatchers,Comedy,"May 15, 1998 (United States)",6.6,Toni Collette,22607802.13,25,5651950.532,537948,-22069854.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Bliss,Drama,"April 14, 1997 (United States)",6,Craig Sheffer,22914608.79,17.5,4010056.539,294064,-22620544.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Mousehunt,Comedy,"December 19, 1997 (United States)",6.5,Nathan Lane,38000000,25,9500000,122417389,84417389,55,20900000,7.5,2850000,7.5,2850000,4,1520000,12.5,4750000
Inventing the Abbotts,Drama,"April 4, 1997 (United States)",6.4,Liv Tyler,22914608.79,17.5,4010056.539,5936344,-16978264.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Open Your Eyes,Drama,"December 19, 1997 (Spain)",7.7,Eduardo Noriega,22914608.79,17.5,4010056.539,377967,-22536641.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Beverly Hills Ninja,Action,"January 17, 1997 (United States)",5.6,Chris Farley,18000000,37.5,6750000,31480418,13480418,45,8100000,30,5400000,7.5,1350000,4,720000,12.5,2250000
Murder at 1600,Action,"April 18, 1997 (United States)",6.1,Wesley Snipes,40000000,37.5,15000000,25804707,-14195293,45,18000000,30,12000000,7.5,3000000,4,1600000,12.5,5000000
Flubber,Comedy,"November 26, 1997 (United States)",5.3,Robin Williams,80000000,25,20000000,177977226,97977226,55,44000000,7.5,6000000,7.5,6000000,4,3200000,12.5,10000000
Orgazmo,Comedy,"October 23, 1998 (United States)",6.1,Trey Parker,1000000,25,250000,602302,-397698,55,550000,7.5,75000,7.5,75000,4,40000,12.5,125000
The Ice Storm,Drama,"November 26, 1997 (United States)",7.4,Kevin Kline,18000000,17.5,3150000,8038061,-9961939,65,11700000,7.5,1350000,7.5,1350000,4,720000,12.5,2250000
Soul Food,Comedy,"September 26, 1997 (United States)",7,Vanessa Williams,7500000,25,1875000,43700855,36200855,55,4125000,7.5,562500,7.5,562500,4,300000,12.5,937500
Children of Heaven,Drama,"January 22, 1999 (United States)",8.3,Mohammad Amir Naji,180000,17.5,31500,933933,753933,65,117000,7.5,13500,7.5,13500,4,7200,12.5,22500
Double Team,Action,"April 4, 1997 (United States)",4.8,Jean-Claude Van Damme,30000000,37.5,11250000,11438337,-18561663,45,13500000,30,9000000,7.5,2250000,4,1200000,12.5,3750000
The Relic,Horror,"January 10, 1997 (United States)",5.8,Penelope Ann Miller,40000000,25,10000000,33956608,-6043392,45,18000000,15,6000000,7.5,3000000,6,2400000,12.5,5000000
An American Werewolf in Paris,Comedy,"December 25, 1997 (United States)",5.1,Tom Everett Scott,25000000,25,6250000,26570463,1570463,55,13750000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
Bean,Adventure,"November 7, 1997 (United States)",6.5,Rowan Atkinson,18000000,37.5,6750000,251212670,233212670,45,8100000,30,5400000,7.5,1350000,4,720000,12.5,2250000
Wag the Dog,Comedy,"January 9, 1998 (United States)",7.1,Dustin Hoffman,15000000,25,3750000,64256513,49256513,55,8250000,7.5,1125000,7.5,1125000,4,600000,12.5,1875000
Taste of Cherry,Drama,"November 26, 1997 (France)",7.8,Homayoun Ershadi,22914608.79,17.5,4010056.539,10923,-22903685.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Absolute Power,Action,"February 14, 1997 (United States)",6.7,Clint Eastwood,50000000,37.5,18750000,50068310,68310,45,22500000,30,15000000,7.5,3750000,4,2000000,12.5,6250000
Wishmaster,Fantasy,"September 19, 1997 (United States)",5.8,Tammy Lauren,5000000,30,1500000,15738769,10738769,35,1750000,40,2000000,12.5,625000,5,250000,12.5,625000
Jungle 2 Jungle,Comedy,"March 7, 1997 (United States)",5.2,Tim Allen,32000000,25,8000000,59927618,27927618,55,17600000,7.5,2400000,7.5,2400000,4,1280000,12.5,4000000
B*A*P*S,Comedy,"March 28, 1997 (United States)",4.7,Halle Berry,22607802.13,25,5651950.532,7338279,-15269523.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Private Parts,Biography,"March 7, 1997 (United States)",6.9,Howard Stern,28000000,17.5,4900000,41230799,13230799,55,15400000,7.5,2100000,7.5,2100000,4,1120000,12.5,3500000
The Boxer,Drama,"January 9, 1998 (United States)",7,Daniel Day-Lewis,22914608.79,17.5,4010056.539,16534578,-6380030.792,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Picture Perfect,Comedy,"August 1, 1997 (United States)",5.5,Jennifer Aniston,10000000,25,2500000,44332015,34332015,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Money Talks,Action,"August 22, 1997 (United States)",6.2,Charlie Sheen,25000000,37.5,9375000,48407611,23407611,45,11250000,30,7500000,7.5,1875000,4,1000000,12.5,3125000
The Sweet Hereafter,Drama,"November 21, 1997 (United States)",7.5,Ian Holm,22914608.79,17.5,4010056.539,3263585,-19651023.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
RocketMan,Comedy,"October 10, 1997 (United States)",5.9,Harland Williams,22607802.13,25,5651950.532,15448043,-7159759.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Switchback,Crime,"October 31, 1997 (United States)",6.4,Danny Glover,37000000,20,7400000,6492660,-30507340,55,20350000,15,5550000,7.5,2775000,6,2220000,12.5,4625000
Wild America,Action,"July 2, 1997 (United States)",6.4,Jonathan Taylor Thomas,58084599.21,37.5,21781724.7,7342923,-50741676.21,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Nothing to Lose,Action,"July 18, 1997 (United States)",6.7,Martin Lawrence,25000000,37.5,9375000,44480039,19480039,45,11250000,30,7500000,7.5,1875000,4,1000000,12.5,3125000
Steel,Action,"August 15, 1997 (United States)",2.9,Shaquille O'Neal,16000000,37.5,6000000,1710972,-14289028,45,7200000,30,4800000,7.5,1200000,4,640000,12.5,2000000
Eve's Bayou,Drama,"November 7, 1997 (United States)",7.3,Samuel L. Jackson,6000000,17.5,1050000,14842388,8842388,65,3900000,7.5,450000,7.5,450000,4,240000,12.5,750000
Kundun,Biography,"January 16, 1998 (United States)",7,Tenzin Thuthob Tsarong,28000000,17.5,4900000,5684789,-22315211,55,15400000,7.5,2100000,7.5,2100000,4,1120000,12.5,3500000
Cure,Crime,"July 8, 2001 (United States)",7.4,Masato Hagiwara,22363565.63,20,4472713.126,39401196.17,17037630.54,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
Live Flesh,Drama,"January 16, 1998 (United States)",7.4,Liberto Rabal,22914608.79,17.5,4010056.539,1785901,-21128707.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Fire Down Below,Action,"September 5, 1997 (United States)",5.1,Steven Seagal,60000000,37.5,22500000,16228448,-43771552,45,27000000,30,18000000,7.5,4500000,4,2400000,12.5,7500000
Air Bud,Comedy,"August 1, 1997 (United States)",5.3,Michael Jeter,3000000,25,750000,23144499,20144499,55,1650000,7.5,225000,7.5,225000,4,120000,12.5,375000
The Opposite of Sex,Comedy,"May 22, 1998 (United States)",6.4,Christina Ricci,5000000,25,1250000,5881367,881367,55,2750000,7.5,375000,7.5,375000,4,200000,12.5,625000
For Richer or Poorer,Comedy,"December 12, 1997 (United States)",5.8,Tim Allen,35000000,25,8750000,32748995,-2251005,55,19250000,7.5,2625000,7.5,2625000,4,1400000,12.5,4375000
The Castle,Comedy,"May 7, 1999 (United States)",7.7,Michael Caton,22607802.13,25,5651950.532,877862,-21729940.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
